Team,Wins,Losses

BOS,53,29

CLE,51,31

TOR,51,31

WAS,49,33

ATL,43,39

MIL,42,40

IND,42,40

CHI,41,41

MIA,41,41

DET,37,45

CHA,36,46

NYK,31,51

ORL,29,53

PHI,28,54

BKN,20,62

GSW,67,15

SAS,61,21

HOU,55,27

LAC,51,31

UTA,51,31

OKC,47,35

MEM,43,39

POR,41,41

DEN,40,42

NOP,34,48

DAL,33,49

SAC,32,50

MIN,31,51

LAL,26,56

PHX,24,58
